,,,,,,Hora ,mm
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 15:10:00.0,"0,00"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 16:10:00.0,"0,00"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 17:10:00.0,"0,00"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 18:10:00.0,"0,00"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 19:00:00.0,"1,20"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 19:10:00.0,"5,00"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 19:20:00.0,"7,80"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 19:30:00.0,"6,20"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 19:40:00.0,"4,00"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 19:50:00.0,"4,00"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 20:00:00.0,"8,20"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 20:10:00.0,"10,00"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 20:20:00.0,"17,80"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 20:30:00.0,"33,00"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 20:40:00.0,"6,80"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 20:50:00.0,"13,20"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 21:00:00.0,"10,40"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 21:10:00.0,"7,00"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 21:20:00.0,"3,80"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 21:30:00.0,"2,40"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 21:40:00.0,"0,40"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 21:50:00.0,"0,20"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 22:10:00.0,"0,00"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 22:20:00.0,"0,20"
PETRÓPOLIS,330390605G,RJ,Bingen - Geo,"-22,51221","-43,209475",2022-02-15 23:10:00.0,"0,00"
,,,,,,,"141,60"