,,,,,,Hora,mm
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 15:20:00.0,"0,00"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 16:20:00.0,"0,00"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 17:20:00.0,"0,00"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 18:20:00.0,"0,39"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 18:30:00.0,"0,98"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 18:40:00.0,"1,18"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 18:50:00.0,"8,54"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 19:00:00.0,"3,94"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 19:20:00.0,"0,20"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 19:30:00.0,"0,39"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 19:40:00.0,"11,60"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 19:50:00.0,"15,77"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 20:00:00.0,"6,90"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 20:10:00.0,"2,36"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 20:20:00.0,"13,62"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 20:30:00.0,"13,44"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 20:40:00.0,"3,55"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 20:50:00.0,"10,17"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 21:00:00.0,"18,72"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 21:10:00.0,"8,95"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 21:20:00.0,"9,35"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 21:30:00.0,"13,85"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 21:40:00.0,"2,95"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 21:50:00.0,"0,20"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 22:00:00.0,"0,20"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 22:10:00.0,"0,39"
PETRÓPOLIS,330390612A,RJ,Independência2,"-22,548","-43,209",2022-02-15 22:20:00.0,"0,39"
,,,,,,,"148,03"